Link,Status,Arquivo
https://drive.google.com/open?id=1ANFCQfdrYRxl0x-pBqOPn6yvaGQodzWD,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1cGqilGG_dbzxmMOpvm4oqlG3BeQxoKHu,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1K_nrVWuiQJ9EWW7cKZpedcSeDIE8QmLr,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1Rt8l4FUW51GC-4T7s0a5Ix3Ff52pOL8A,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1rrZo9HPLC4diMLEFqmDuIxEJdDs6pzJR,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1DzezV2aDo37zU24F3M5lRNiNJMUPQx0p,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1BxPMOAnFTeyB49tpvgUhZ9ZbhGwYJRqS,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=14CTao7dYLRjnWVmQyvtPOoBtDcDZP__H,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1_wIOkq11mDKP_cFPZu2Iy8VayfehlZ1f,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=10Om3AyD_9e_5zIdayNvi80FdpOiPSLC7,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1pP4omlHQv7plcAZYEPyOOQMHxoyl7qz2,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1qkrIWHv8Og-PMjj6uhgNgNJUwb-2gDIo,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1dyMgxcDxoPCAH14aWqvcYyJK5Nge0gnr,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1I3sNOjWx0X87kKyiASZ57eK7t-e1oRpr,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1WfO6tYqdIbajYGSrQckih0HLw7YsvXGP,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=17wlXI_TqY1IRnhoQVZ8IR34p2KXJmeK3,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1Dtd6hsOtqtGR8seCud1lFzl49M-w7pRT,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1btsK3JSAbeY0WU5aXjJWGRrMGMf8nMbo,ERRO,download() got an unexpected keyword argument 'fuzzy'
https://drive.google.com/open?id=1JuTH5w38IiNmPGUwa6jpzGsxsIjB0_Gn,ERRO,download() got an unexpected keyword argument 'fuzzy'
